"Fecha","Proyecto","Tarea","Un","Integrante"
01/01/19,"Generales","Asignación",4,"MI"
01/01/19,"ProyectoA","Test",1,"AG"
01/01/19,"ProyectoB","Test",2,"AG"
01/01/19,"ProyectoC","Entrega",1,"GD"
01/01/19,"ProyectoD","Test",1,"AG"
01/01/19,"ProyectoD","Revisión",2,"GD"
01/01/19,"ProyectoB","Revisión",2,"GD"
01/02/19,"ProyectoE","Revisión",6,"GD"
01/01/19,"ProyectoF","Test",2,"AG"
01/01/19,"ProyectoD","Test",3,"AG"
01/01/19,"ProyectoD","Revisión",3,"GD"
01/01/19,"ProyectoD","Desarrollo",20,"NS"
01/01/19,"ProyectoD","Desarrollo",32,"NS"
01/01/19,"ProyectoD","Desarrollo",32,"NS"
01/01/19,"ProyectoF","Desarrollo",16,"NS"
01/01/19,"ProyectoK","Desarrollo",16,"NS"
01/01/19,"ProyectoF","Desarrollo",12,"NS"
01/01/19,"ProyectoG","Test",3,"AG"
01/02/19,"ProyectoE","Desarrollo",12,"CA"
01/01/19,"ProyectoB","Revisión",4,"GD"
01/01/19,"ProyectoG","Revisión",2,"GD"
01/01/19,"ProyectoH","Revisión",2,"GD"
01/01/19,"ProyectoG","Revisión",2,"GD"
01/02/19,"ProyectoF","Test",4,"AG"
01/02/19,"ProyectoG","Test",2,"AG"
01/02/19,"ProyectoD","Test",2,"AG"
01/02/19,"ProyectoF","Test",2,"AG"
01/02/19,"ProyectoC","Reunión",6,"AG"
01/02/19,"ProyectoF","Reunión",2,"AG"
01/02/19,"ProyectoG","Estimación",3,"AG"
01/02/19,"ProyectoB","Test",1,"AG"
01/02/19,"ProyectoI","Revisión",2,"AA"
01/02/19,"ProyectoJ","Desarrollo",6,"CA"
01/02/19,"ProyectoJ","Desarrollo",14,"CA"
01/02/19,"ProyectoA","Corrección",14,"LM"
01/02/19,"ProyectoJ","Test",2,"AG"
01/02/19,"ProyectoH","Corrección",8,"GD"
01/02/19,"ProyectoB","Corrección",8,"GD"
01/02/19,"ProyectoF","Desarrollo",24,"NS"
01/02/19,"ProyectoF","Desarrollo",16,"NS"
01/02/19,"ProyectoD","Desarrollo",4,"NS"
01/02/19,"ProyectoF","Desarrollo",8,"NS"
01/02/19,"ProyectoF","Desarrollo",8,"NS"
01/02/19,"ProyectoF","Desarrollo",8,"NS"
01/02/19,"ProyectoF","Desarrollo",4,"NS"
01/02/19,"ProyectoF","Desarrollo",4,"NS"
01/02/19,"ProyectoF","Desarrollo",4,"NS"
01/02/19,"ProyectoF","Desarrollo",4,"NS"
01/02/19,"ProyectoF","Desarrollo",16,"NS"
01/02/19,"ProyectoH","Desarrollo",16,"NS"
01/02/19,"ProyectoH","Desarrollo",20,"NS"
01/02/19,"ProyectoF","Reunión",4,"AG"
01/02/19,"ProyectoB","Reunión",2,"AG"
01/02/18,"Generales","Asignación",16,"MI"
01/02/19,"ProyectoG","Desarrollo",16,"CA"
01/02/19,"ProyectoB","Asignación",2,"MI"
01/03/18,"ProyectoC","Test",1,"AG"
01/03/19,"ProyectoB","Reunión",4,"AG"
01/03/19,"ProyectoF","Test",2,"AG"
01/03/19,"ProyectoC","Test",2,"AG"
01/03/19,"ProyectoB","Test",2,"AG"
01/03/19,"ProyectoA","Test",3,"AG"
01/03/19,"ProyectoF","Test",4,"AG"
01/03/19,"ProyectoI","Test",2,"AG"
01/03/19,"ProyectoF","Desarrollo",10,"CA"
01/03/19,"ProyectoK","Corrección",8,"GD"
01/03/19,"ProyectoF","Corrección",2,"GD"
01/03/19,"ProyectoB","Revisión",2,"GD"
01/03/19,"ProyectoF","Test",2,"AG"
01/03/19,"ProyectoF","Entrega",6,"GD"
01/03/19,"ProyectoF","Corrección",3,"GD"
01/03/19,"Generales","Asignación",20,"MI"
01/03/19,"Generales","Asignación",8,"MI"
01/03/19,"ProyectoA","Corrección",3,"LM"
01/03/19,"ProyectoA","Corrección",6,"LM"
01/03/19,"ProyectoA","Corrección",5,"LM"
01/03/19,"ProyectoA","Corrección",3,"LM"
01/03/19,"ProyectoI","Revisión",16,"AA"
01/03/19,"ProyectoI","Revisión",40,"AA"
01/03/19,"ProyectoI","Corrección",1,"AA"
01/03/19,"ProyectoI","Corrección",7,"AA"
01/03/19,"ProyectoE","Desarrollo",16,"CA"
01/04/19,"ProyectoD","Test",1,"AG"
01/04/19,"ProyectoD","Asignación",1,"MI"
01/04/19,"ProyectoE","Desarrollo",8,"CA"
01/04/19,"ProyectoB","Desarrollo",32,"CA"
01/04/19,"ProyectoG","Desarrollo",40,"NS"
01/04/19,"ProyectoG","Desarrollo",20,"NS"
01/04/19,"ProyectoG","Desarrollo",20,"NS"
01/04/19,"ProyectoG","Desarrollo",20,"NS"
01/04/19,"ProyectoG","Desarrollo",16,"NS"
01/04/19,"ProyectoG","Desarrollo",6,"NS"
01/04/19,"ProyectoG","Desarrollo",16,"NS"
01/04/19,"ProyectoG","Desarrollo",4,"NS"
01/03/19,"ProyectoF","Desarrollo",12,"NS"
01/04/19,"ProyectoG","Test",4,"AG"
01/04/19,"ProyectoF","Test",1,"AG"
01/04/19,"ProyectoC","Test",1,"AG"
01/04/19,"ProyectoA","Test",2,"AG"
01/04/19,"ProyectoA","Corrección",5,"LM"
01/04/19,"ProyectoA","Corrección",2,"LM"
01/04/19,"ProyectoD","Test",1,"AG"
01/04/19,"ProyectoC","Test",4,"AG"
01/04/19,"ProyectoG","Corrección",8,"GD"
01/04/19,"ProyectoD","Revisión",4,"GD"
01/04/19,"ProyectoD","Desarrollo",20,"NS"
01/04/19,"ProyectoC","Desarrollo",32,"CA"
01/04/19,"ProyectoA","Corrección",3,"LM"
01/04/19,"ProyectoA","Corrección",2,"LM"
01/04/19,"ProyectoA","Corrección",5,"LM"
01/04/19,"ProyectoB","Revisión",11,"LM"
01/04/19,"ProyectoC","Desarrollo",8,"CA"
01/04/19,"Generales","Asignación",20,"MI"
01/04/19,"Generales","Asignación",8,"MI"
01/05/19,"ProyectoC","Desarrollo",8,"CA"
01/05/19,"ProyectoI","Corrección",8,"AA"
01/05/19,"ProyectoF","Corrección",4,"GD"
01/05/19,"ProyectoF","Test",4,"AG"
01/05/19,"ProyectoC","Desarrollo",12,"CA"
01/05/19,"ProyectoF","Test",2,"AG"
01/05/19,"ProyectoB","Test",2,"AG"
01/05/19,"ProyectoB","Desarrollo",16,"CA"
01/05/19,"ProyectoB","Test",2,"AG"
01/05/19,"ProyectoF","Test",2,"AG"
01/05/19,"ProyectoC","Test",4,"AG"
01/05/19,"ProyectoL","Test",2,"AG"
01/05/19,"ProyectoC","Bug",2,"CA"
01/05/19,"ProyectoC","Bug",2,"CA"
01/05/19,"ProyectoC","Desarrollo",2,"CA"
01/05/19,"ProyectoC","Desarrollo",14,"CA"
01/05/19,"ProyectoC","Desarrollo",4,"CA"
01/05/19,"ProyectoG","Test",4,"AG"
01/05/19,"ProyectoE","Test",2,"AG"
01/05/19,"ProyectoB","Desarrollo",4,"CA"
01/05/19,"ProyectoG","Desarrollo",40,"NS"
01/05/19,"ProyectoG","Desarrollo",36,"NS"
01/05/19,"ProyectoG","Desarrollo",3,"NS"
01/05/19,"ProyectoD","Desarrollo",36,"NS"
01/05/19,"ProyectoF","Entrega",9,"GD"
01/05/19,"ProyectoK","Entrega",12,"GD"
01/05/19,"ProyectoB","Corrección",8,"GD"
01/05/19,"ProyectoG","Entrega",5,"GD"
01/05/19,"ProyectoD","Entrega",4,"GD"
01/05/19,"ProyectoC","Correción",12,"GD"
01/05/19,"ProyectoL","Corrección",2,"GD"
01/05/19,"ProyectoD","Test",1,"AG"
01/05/19,"ProyectoB","Revisión",3,"LM"
01/05/19,"ProyectoB","Revisión",8,"LM"
01/05/19,"ProyectoB","Revisión",9,"LM"
01/05/19,"ProyectoE","Desarrollo",48,"CA"
01/05/19,"ProyectoE","Desarrollo",2,"CA"
01/05/19,"ProyectoL","Desarrollo",4,"CA"
01/05/19,"Generales","Asignación",20,"MI"
01/05/19,"Generales","Asignación",8,"MI"
01/05/19,"ProyectoB","Asignación",4,"MI"
01/05/19,"ProyectoE","Revisión",32,"AA"
01/05/18,"ProyectoE","Revisión",8,"AA"
01/06/19,"ProyectoD","Test",2,"AG"
01/06/19,"ProyectoF","Test",2,"AG"
01/06/19,"ProyectoF","Corrección",24,"GD"
01/06/19,"ProyectoD","Corrección",4,"GD"
01/06/19,"ProyectoD","Revisión",6,"GD"
01/06/19,"ProyectoL","Revisión",40,"AA"
01/06/19,"ProyectoL","Desarrollo",50,"CA"
01/06/19,"ProyectoL","Desarrollo",16,"NS"
01/06/19,"ProyectoG","Entrega",3,"GD"
01/06/19,"ProyectoF","Corrección",2,"GD"
01/06/19,"ProyectoC","Test",2,"AG"
01/06/19,"ProyectoG","Revisión",2,"GD"
01/06/19,"ProyectoK","Corrección",1,"GD"
01/06/19,"ProyectoI","Correción",4,"AA"
01/06/19,"ProyectoK","Entrega",1,"GD"
01/06/19,"ProyectoI","Desarrollo",56,"CA"
01/06/19,"Generales","Asignación",16,"MI"
01/06/19,"Generales","Asignación",6,"MI"
01/06/19,"ProyectoE","Asignación",4,"MI"
01/07/19,"ProyectoI","Entrega",8,"AA"
01/07/19,"ProyectoL","Entrega",8,"AA"
01/07/19,"ProyectoH","Reunión",1,"AG"
01/07/19,"ProyectoL","Desarrollo",16,"CA"
01/07/19,"ProyectoE","Desarrollo",8,"CA"
01/07/19,"ProyectoE","Desarrollo",32,"CA"
01/07/19,"ProyectoI","Desarrollo",16,"CA"
01/07/19,"ProyectoB","Desarrollo",16,"CA"
01/07/19,"ProyectoB","Desarrollo",4,"CA"
01/07/19,"ProyectoB","Desarrollo",8,"CA"
01/07/19,"ProyectoF","Test",2,"AG"
01/07/19,"ProyectoK","Revisión",2,"GD"
01/07/19,"ProyectoK","Revisión",2,"GD"
01/07/19,"ProyectoH","Revisión",8,"GD"
01/07/19,"ProyectoF","Revisión",8,"GD"
01/07/19,"ProyectoB","Revisión",4,"GD"
01/07/19,"ProyectoB","Entrega",2,"GD"
01/07/19,"ProyectoF","Corrección",2,"GD"
01/07/19,"ProyectoF","Desarrollo",40,"NS"
01/07/19,"ProyectoE","Revisión",3,"AA"
01/07/19,"ProyectoE","Entrega",2,"AA"
01/07/19,"Generales","Asignación",16,"MI"
01/07/19,"Generales","Asignación",6,"MI"
01/07/19,"ProyectoB","Asignación",2,"MI"
01/07/19,"ProyectoB","Asignación",2,"MI"
01/07/19,"ProyectoF","Test",2,"AG"
01/07/19,"ProyectoF","Enttrega",1,"GD"
01/07/19,"ProyectoB","Entrega",2,"GD"
01/07/19,"ProyectoF","Test",2,"AG"
01/08/19,"ProyectoF","Test",16,"LC"
01/08/19,"ProyectoE","Entrega",8,"SD"
