"","Fecha","Proyecto","Tarea","Un","Integrante"
"2","01/01/19","ProyectoA","Test",1,"AG"
"16","01/01/19","ProyectoK","Desarrollo",16,"NS"
"23","01/01/19","ProyectoG","Revisión",2,"GD"
"29","01/02/19","ProyectoF","Reunión",2,"AG"
"36","01/02/19","ProyectoJ","Test",2,"AG"
"40","01/02/19","ProyectoF","Desarrollo",16,"NS"
"53","01/02/19","ProyectoB","Reunión",2,"AG"
"60","01/03/19","ProyectoC","Test",2,"AG"
"64","01/03/19","ProyectoI","Test",2,"AG"
"67","01/03/19","ProyectoF","Corrección",2,"GD"
"70","01/03/19","ProyectoF","Entrega",6,"GD"
"72","01/03/19","Generales","Asignación",20,"MI"
"89","01/04/19","ProyectoG","Desarrollo",20,"NS"
"90","01/04/19","ProyectoG","Desarrollo",20,"NS"
"107","01/04/19","ProyectoC","Desarrollo",32,"CA"
"115","01/05/19","ProyectoC","Desarrollo",8,"CA"
"118","01/05/19","ProyectoF","Test",4,"AG"
"119","01/05/19","ProyectoC","Desarrollo",12,"CA"
"121","01/05/19","ProyectoB","Test",2,"AG"
"124","01/05/19","ProyectoF","Test",2,"AG"
"127","01/05/19","ProyectoC","Bug",2,"CA"
"137","01/05/19","ProyectoG","Desarrollo",3,"NS"
"142","01/05/19","ProyectoG","Entrega",5,"GD"
"144","01/05/19","ProyectoC","Correción",12,"GD"
"150","01/05/19","ProyectoE","Desarrollo",48,"CA"
"153","01/05/19","Generales","Asignación",20,"MI"
"160","01/06/19","ProyectoF","Corrección",24,"GD"
"164","01/06/19","ProyectoL","Desarrollo",50,"CA"
"172","01/06/19","ProyectoK","Entrega",1,"GD"
"175","01/06/19","Generales","Asignación",6,"MI"
"178","01/07/19","ProyectoL","Entrega",8,"AA"
"182","01/07/19","ProyectoE","Desarrollo",32,"CA"
"186","01/07/19","ProyectoB","Desarrollo",8,"CA"
"187","01/07/19","ProyectoF","Test",2,"AG"
"188","01/07/19","ProyectoK","Revisión",2,"GD"
"189","01/07/19","ProyectoK","Revisión",2,"GD"
"192","01/07/19","ProyectoB","Revisión",4,"GD"
"194","01/07/19","ProyectoF","Corrección",2,"GD"
"197","01/07/19","ProyectoE","Entrega",2,"AA"
"200","01/07/19","ProyectoB","Asignación",2,"MI"
"210","01/08/19","ProyectoI","Test",24,"LC"
"211","01/08/19","ProyectoF","Revisión",36,"SD"
"217","01/08/19","ProyectoB","Revisión",40,"SD"
"222","01/08/19","ProyectoL","Revisión",50,"AA"
"224","01/08/19","ProyectoB","Revisión",3,"LM"
"228","01/08/19","ProyectoF","Desarrollo",5,"NS"
"237","01/09/19","ProyectoG","Test",3,"LC"
"253","01/09/19","ProyectoB","Corrección",10,"GD"
"254","01/09/19","ProyectoL","Test",8,"LC"
"256","01/09/19","ProyectoH","Test",8,"LC"
"260","01/09/19","ProyectoB","Asignación",4,"MI"
"264","01/09/19","ProyectoA","Corrección",4,"LM"
"267","01/09/19","ProyectoL","Revisión",8,"AA"
"271","01/10/19","ProyectoE","Desarrollo",14,"CA"
"289","01/10/19","ProyectoL","Desarrollo",6,"CA"
"293","01/10/19","ProyectoI","Revisión",1,"LM"
"296","01/10/19","ProyectoB","Test",2,"AG"
"301","01/10/19","ProyectoE","Test",1,"LC"
"309","01/10/19","ProyectoL","Test",2,"AG"
"310","01/10/19","ProyectoJ","Test",1,"LC"
"316","01/10/19","Generales","Asignación",16,"MI"
"321","01/11/19","ProyectoD","Desarrollo",12,"CA"
"330","01/11/19","ProyectoF","Test",2,"AG"
"331","01/11/19","ProyectoF","Test",1,"LC"
"337","01/11/19","ProyectoC","Test",1,"AG"
"340","01/11/19","ProyectoC","Test",3,"LC"
"341","01/11/19","ProyectoC","Revisión",10,"SD"
"342","01/11/19","ProyectoH","Revisión",16,"SD"
"362","01/12/19","ProyectoF","Test",2,"LC"
"366","01/12/19","ProyectoL","Desarrollo",2,"CA"
"370","01/12/19","ProyectoF","Desarrollo",12,"CA"
"372","01/12/19","ProyectoC","Revisión",8,"SD"
"379","01/12/19","ProyectoF","Desarrollo",16,"CA"
"383","01/12/19","ProyectoO","Test",2,"AG"
"386","01/12/19","ProyectoF","Test",6,"LC"
"388","01/12/19","Generales","Asignación",16,"MI"
"394","01/01/20","ProyectoF","Desarrollo",12,"CA"
"407","01/01/20","ProyectoF","Desarrollo",8,"CA"
"423","01/01/20","ProyectoL","Test",1,"AG"
"433","01/02/20","ProyectoB","Test",2,"AG"
"438","01/02/20","ProyectoC","Desarrollo",22,"CA"
"446","01/02/20","ProyectoM","Desarrollo",20,"PA"
"453","01/02/20","ProyectoF","Bug",5,"PA"
"458","01/02/20","ProyectoF","Test",4,"LC"
"480","01/03/20","ProyectoN","Desarrollo",3,"PA"
"487","01/03/20","ProyectoH","Desarrollo",3,"NS"
"488","01/03/20","ProyectoH","Revisión",4,"LM"
"489","01/03/20","ProyectoH","Revisión",4,"LM"
"494","01/04/20","ProyectoN","Desarrollo",32,"JC"
"499","01/04/20","ProyectoN","Reunión",5,"AS"
"501","01/04/20","ProyectoN","Desarrollo",1,"CA"
"504","01/04/20","ProyectoN","Test",2,"AG"
"512","01/04/20","ProyectoN","Test",4,"AG"
"513","01/04/20","ProyectoP","Desarrollo",10,"NS"
"514","01/04/20","ProyectoI","Revisión",25,"AA"
"516","01/04/20","ProyectoC","Estimación",4,"AS"
"517","01/04/20","ProyectoM","Reunión",3,"AS"
"518","01/04/20","ProyectoN","Desarrollo",101,"PA"
"520","01/04/20","ProyectoF","Bug",8,"PA"
"521","01/04/20","ProyectoN","Desarrollo",10,"CA"
"524","01/04/20","ProyectoN","Revisión",4,"LM"
"527","01/04/20","ProyectoN","Desarrollo",8,"JC"
"532","01/04/20","ProyectoC","Test",1,"AG"
"533","01/04/20","ProyectoN","Test",2,"AG"
"538","01/05/20","ProyectoF","Test",6,"AG"
"539","01/05/20","ProyectoN","Test",8,"AG"
"541","01/05/20","ProyectoN","Desarrollo",8,"JC"
"545","01/05/20","ProyectoN","Desarrollo",48,"CA"
"555","01/05/20","ProyectoN","Bug",8,"JC"
"557","01/05/20","ProyectoN","Desarrollo",8,"JC"
"568","01/05/20","ProyectoC","Desarrollo",16,"PA"
"572","01/05/20","ProyectoL","Revisión",20,"AA"
"575","01/06/20","ProyectoC","Test",3,"LC"
"579","01/01/19","ProyectoC","Entrega",1,"GD"
"580","01/01/19","ProyectoD","Test",1,"AG"
"585","01/01/19","ProyectoD","Test",3,"AG"
"586","01/01/19","ProyectoD","Revisión",3,"GD"
"589","01/01/19","ProyectoD","Desarrollo",32,"NS"
"603","01/02/19","ProyectoC","Reunión",6,"AG"
"609","01/02/19","ProyectoJ","Desarrollo",14,"CA"
